Line,treat,td,gut,cell mean (um),cell median (um),gut thickness max (um),gut thickness mean (um),gut thickness median (um)
9024KO,db11,16h,1,25.8451,24.8635,270.5867,247.3127,246.6184
9024KO,db11,16h,3,31.6582,33.0964,211.768,194.3211,194.3186
9024KO,db11,16h,4,29.9927,30.1336,222.689,206.4586,209.6905
9024KO,db11,16h,5,33.165,33.8182,214.1386,168.1823,161.8677
9024KO,db11,16h,7,27.5247,27.4735,126.9283,109.1039,107.2631
9024KO,db11,16h,8,32.3039,32.8441,227.1721,192.5584,187.7562
9024KO,db11,3h,4,32.6296,33.1981,212.8011,186.7433,187.9427
9024KO,db11,3h,5,33.3681,34.9411,244.6088,203.9903,210.6353
9024KO,db11,3h,7,31.277,30.8474,191.3958,172.5171,170.1479
9024KO,db11,3h,8,27.4892,27.7396,210.0944,187.8471,190.5146
9024KO,sucrose,16h,1,37.803,37.8908,182.7117,160.3177,159.0571
9024KO,sucrose,16h,2,32.6916,32.9581,198.6036,171.9055,177.6822
9024KO,sucrose,16h,3,30.5351,30.0316,161.7781,144.9582,143.5732
9024KO,sucrose,16h,4,34.3948,34.9889,164.0801,120.1231,121.8508
9024KO,sucrose,16h,5,33.4338,34.4663,202.3924,177.9937,180.4796
9024KO,sucrose,16h,6,31.2901,32.4817,200.9164,141.6536,141.4407
9024KO,sucrose,16h,7,34.0021,34.551,179.4628,149.4732,149.8711
9024KO,sucrose,16h,8,28.4569,28.9678,195.82,153.32,164.6381
9024KO,sucrose,16h,9,30.8351,32.2399,194.4655,139.0325,131.6265
w1118,db11,16h,1,23.304,20.112,270.318,121.9462,125.5714
w1118,db11,16h,2,19.3841,19.6455,253.6896,238.2168,238.4928
w1118,db11,16h,3,23.0209,19.7974,272.9093,188.2152,191.5449
w1118,db11,16h,4,19.6116,16.8163,271.8515,137.4699,133.0842
w1118,db11,16h,5,27.4005,28.4549,256.3613,235.5404,239.1521
w1118,db11,16h,7,28.5994,27.4381,385.7648,271.7976,265.5415
w1118,db11,16h,8,24.7391,24.4611,236.2603,212.8444,213.0063
w1118,db11,16h,9,31.9079,32.112,267.8114,247.6082,246.8253
w1118,db11,3h,1,25.241,25.3252,252.6695,240.4233,239.1159
w1118,db11,3h,10,25.9035,25.183,214.8747,187.2518,184.7718
w1118,db11,3h,11,26.5516,27.3814,205.7165,162.2066,155.516
w1118,db11,3h,2,23.4597,20.6546,238.1497,217.7355,215.9131
w1118,db11,3h,3,34.4885,34.6118,175.0108,160.7602,161.1351
w1118,db11,3h,4,23.7422,22.0971,228.94,208.3705,204.6053
w1118,db11,3h,5,25.5358,25.4854,207.4254,177.9938,182.3111
w1118,db11,3h,6,29.7095,28.4858,258.5523,224.0452,218.5873
w1118,db11,3h,7,32.7736,35.0084,249.7351,205.4334,197.6341
w1118,db11,3h,8,32.6983,32.8759,228.3156,196.1213,198.126
w1118,db11,3h,9,30.2609,30.7554,223.2381,182.3819,183.1338
w1118,sucrose,16h,1,30.1282,30.3251,143.8893,130.4655,130.2123
w1118,sucrose,16h,10,29.1257,30.4954,176.7057,92.5262,116.5523
w1118,sucrose,16h,11,30.1119,29.4123,185.9224,145.3439,140.0468
w1118,sucrose,16h,2,33.1631,32.8786,162.884,141.0703,139.1202
w1118,sucrose,16h,3,33.1631,32.8786,162.884,141.0703,139.1202
w1118,sucrose,16h,4,29.8181,30.1494,159.2746,140.1699,135.6135
w1118,sucrose,16h,5,31.9675,32.091,194.0178,160.9127,157.6612
w1118,sucrose,16h,6,32.0378,33.6269,190.1259,143.5015,151.7812
w1118,sucrose,16h,7,33.2419,34.2847,165.1523,139.2208,141.0472
w1118,sucrose,16h,8,34.9247,35.4014,141.9003,125.2978,124.3146
w1118,sucrose,16h,9,32.683,32.4947,162.2321,140.7325,143.2716
