Line,treat,td,gut,cell mean (um),cell median (um),gut thickness max (um),gut thickness mean (um),gut thickness median (um)
9024KO,db11,16h,1,22.8515,23.0621,270.5867,247.3127,246.6184
9024KO,db11,16h,3,28.7385,30.3923,211.768,194.3211,194.3186
9024KO,db11,16h,4,28.446,28.9063,222.689,206.4586,209.6905
9024KO,db11,16h,5,31.6097,32.7243,214.1386,168.1823,161.8677
9024KO,db11,16h,7,24.7843,25.8857,126.9283,109.1039,107.2631
9024KO,db11,16h,8,32.1582,31.9958,227.1721,192.5584,187.7562
9024KO,db11,3h,4,30.1121,30.671,212.8011,186.7433,187.9427
9024KO,db11,3h,5,32.2252,32.1637,244.6088,203.9903,210.6353
9024KO,db11,3h,7,29.3165,30.0888,191.3958,172.5171,170.1479
9024KO,db11,3h,8,27.5933,28.0597,210.0944,187.8471,190.5146
9024KO,sucrose,16h,1,36.2007,37.2759,182.7117,160.3177,159.0571
9024KO,sucrose,16h,2,29.297,30.7813,198.6036,171.9055,177.6822
9024KO,sucrose,16h,3,29.4374,29.485,161.7781,144.9582,143.5732
9024KO,sucrose,16h,4,31.8391,32.4675,164.0801,120.1231,121.8508
9024KO,sucrose,16h,5,32.5272,33.3394,202.3924,177.9937,180.4796
9024KO,sucrose,16h,6,30.0466,30.9685,200.9164,141.6536,141.4407
9024KO,sucrose,16h,7,32.5281,33.4006,179.4628,149.4732,149.8711
9024KO,sucrose,16h,8,26.6293,27.1608,195.82,153.32,164.6381
9024KO,sucrose,16h,9,29.5305,31.229,194.4655,139.0325,131.6265
w1118,db11,16h,1,19.9106,17.7092,270.318,121.9462,125.5714
w1118,db11,16h,2,19.5261,19.7747,253.6896,238.2168,238.4928
w1118,db11,16h,3,21.4025,19.0535,272.9093,188.2152,191.5449
w1118,db11,16h,4,16.8311,15.6564,271.8515,137.4699,133.0842
w1118,db11,16h,5,27.1665,27.7516,256.3613,235.5404,239.1521
w1118,db11,16h,7,26.0095,25.2077,385.7648,271.7976,265.5415
w1118,db11,16h,8,24.0445,24.2726,236.2603,212.8444,213.0063
w1118,db11,16h,9,31.1937,32.0357,267.8114,247.6082,246.8253
w1118,db11,3h,1,25.0439,25.5901,252.6695,240.4233,239.1159
w1118,db11,3h,10,24.369,24.2295,214.8747,187.2518,184.7718
w1118,db11,3h,11,26.1192,26.4385,205.7165,162.2066,155.516
w1118,db11,3h,2,21.8888,20.6218,238.1497,217.7355,215.9131
w1118,db11,3h,3,33.913,34.4393,175.0108,160.7602,161.1351
w1118,db11,3h,4,23.4423,22.495,228.94,208.3705,204.6053
w1118,db11,3h,5,25.2775,25.5461,207.4254,177.9938,182.3111
w1118,db11,3h,6,29.0705,28.0185,258.5523,224.0452,218.5873
w1118,db11,3h,7,31.0,31.9508,249.7351,205.4334,197.6341
w1118,db11,3h,8,32.0584,32.5831,228.3156,196.1213,198.126
w1118,db11,3h,9,29.186,30.1372,223.2381,182.3819,183.1338
w1118,sucrose,16h,1,28.1534,29.3769,143.8893,130.4655,130.2123
w1118,sucrose,16h,10,27.8598,28.485,176.7057,92.5262,116.5523
w1118,sucrose,16h,11,27.4549,28.1947,185.9224,145.3439,140.0468
w1118,sucrose,16h,2,30.6604,32.0451,162.884,141.0703,139.1202
w1118,sucrose,16h,3,30.6604,32.0451,162.884,141.0703,139.1202
w1118,sucrose,16h,4,29.6244,30.0489,159.2746,140.1699,135.6135
w1118,sucrose,16h,5,31.2601,31.7272,194.0178,160.9127,157.6612
w1118,sucrose,16h,6,31.7051,32.7466,190.1259,143.5015,151.7812
w1118,sucrose,16h,7,32.6584,33.7433,165.1523,139.2208,141.0472
w1118,sucrose,16h,8,33.5097,34.9005,141.9003,125.2978,124.3146
w1118,sucrose,16h,9,31.9957,32.1692,162.2321,140.7325,143.2716
